FlightNo,ArrivalAirportID,DepartureAirportID,AirlineName,AircraftRegNo,ArrivalTime,AvailableSeat,DepartTime,TransitAmount
TG129,BKK,CNX,Thai Airways,HS-CFA,2025-10-15 05:48:44,124,2025-10-15 04:48:44,0
TG130,CNX,BKK,Thai Airways,HS-GTO,2025-10-20 05:48:44,145,2025-10-20 04:48:44,0
TG131,BKK,HKT,Thai Airways,HS-TPT,2025-11-03 10:57:42,276,2025-11-03 08:57:42,0
TG132,HKT,BKK,Thai Airways,HS-BMW,2025-11-08 09:57:42,156,2025-11-08 08:57:42,0
TG133,UTH,BKK,Thai Airways,HS-RNT,2025-10-11 18:44:18,229,2025-10-11 16:44:18,0
TG134,BKK,UTH,Thai Airways,HS-XJT,2025-10-16 17:44:18,104,2025-10-16 16:44:18,0
TG135,CEI,UTH,Thai Airways,HS-XQA,2025-11-04 16:49:30,71,2025-11-04 15:49:30,0
TG136,UTH,CEI,Thai Airways,HS-WBK,2025-11-09 16:49:30,59,2025-11-09 15:49:30,0
TG137,CEI,UTH,Thai Airways,HS-UHY,2025-09-24 15:37:13,284,2025-09-24 14:37:13,0
TG138,CEI,BKK,Thai Airways,HS-MMH,2025-09-12 18:53:00,139,2025-09-12 17:53:00,0
TG139,BKK,CEI,Thai Airways,HS-MCE,2025-09-17 19:53:00,139,2025-09-17 17:53:00,0
CX431,CDG,UTH,Cathay Pacific,B-XRS,2025-09-29 08:56:24,191,2025-09-28 21:56:24,0
DL747,DXB,CNX,Delta Air Lines,NTAP,2025-11-04 09:58:58,159,2025-11-04 01:58:58,0
CX715,DOH,CEI,Cathay Pacific,B-ZMT,2025-10-04 02:51:35,89,2025-10-03 21:51:35,0
SQ455,CDG,UTH,Singapore Airlines,9V-KZS,2025-10-11 09:37:56,166,2025-10-10 19:37:56,0
BA809,HKG,CNX,British Airways,G-NJV,2025-09-22 22:37:54,150,2025-09-22 18:37:54,0
BA810,CNX,HKG,British Airways,G-XHC,2025-09-27 20:37:54,102,2025-09-27 18:37:54,0
AF527,LHR,HKT,Air France,F-YSZ,2025-11-03 04:16:57,180,2025-11-02 17:16:57,0
NH382,JFK,UTH,ANA,JAHSD,2025-10-23 16:07:29,250,2025-10-23 04:07:29,0
SQ471,HKG,CEI,Singapore Airlines,9V-XNE,2025-09-24 11:39:27,336,2025-09-24 07:39:27,0
SQ698,LAX,CEI,Singapore Airlines,9V-NVT,2025-10-16 16:41:52,141,2025-10-16 05:41:52,1
SQ699,CEI,LAX,Singapore Airlines,9V-OSF,2025-10-21 20:41:52,313,2025-10-21 05:41:52,0
BA535,HND,BKK,British Airways,G-QYK,2025-09-20 12:58:48,193,2025-09-20 06:58:48,0
BA536,BKK,HND,British Airways,G-UMZ,2025-09-21 14:58:48,188,2025-09-21 06:58:48,0
EK940,LAX,HKT,Emirates,A6-BYB,2025-11-01 18:16:02,233,2025-11-01 08:16:02,2
LH689,LHR,UTH,Lufthansa,D-AMMT,2025-09-30 10:51:03,115,2025-09-29 22:51:03,0
EK784,FRA,CEI,Emirates,A6-WUI,2025-09-28 07:26:53,64,2025-09-27 16:26:53,1
EK785,CEI,FRA,Emirates,A6-FWR,2025-09-29 03:26:53,159,2025-09-28 16:26:53,0
TG686,FRA,BKK,Thai Airways,HS-GEY,2025-11-04 04:13:47,143,2025-11-03 15:13:47,0
TG687,BKK,FRA,Thai Airways,HS-DNN,2025-11-08 02:13:47,75,2025-11-07 15:13:47,0
AF990,FRA,BKK,Air France,F-RET,2025-10-12 10:00:22,88,2025-10-11 22:00:22,1
AF991,BKK,FRA,Air France,F-VCJ,2025-10-19 08:00:22,62,2025-10-18 22:00:22,1
LH983,LAX,CNX,Lufthansa,D-AHJV,2025-10-06 03:01:18,139,2025-10-05 14:01:18,0
LH984,CNX,LAX,Lufthansa,D-AVIH,2025-10-11 04:01:18,93,2025-10-10 14:01:18,0
UA646,LAX,CNX,United Airlines,NTXC,2025-10-09 11:43:29,148,2025-10-08 20:43:29,0
DL802,SIN,UTH,Delta Air Lines,NEMM,2025-10-04 06:47:02,166,2025-10-04 02:47:02,1
DL803,UTH,SIN,Delta Air Lines,NFLH,2025-10-09 06:47:02,247,2025-10-09 02:47:02,0
AF743,HND,CNX,Air France,F-AGP,2025-09-27 06:25:20,230,2025-09-27 01:25:20,0
AF744,CNX,HND,Air France,F-AYA,2025-09-30 07:25:20,67,2025-09-30 01:25:20,0
LH273,DOH,CEI,Lufthansa,D-AYUY,2025-10-01 21:14:23,128,2025-10-01 13:14:23,1
QR506,JFK,CNX,Qatar Airways,A7-MKX,2025-09-13 16:56:45,68,2025-09-13 03:56:45,0
QR507,CNX,JFK,Qatar Airways,A7-IAT,2025-09-19 15:56:45,205,2025-09-19 03:56:45,0
AF883,CDG,BKK,Air France,F-YQH,2025-10-10 18:56:21,181,2025-10-10 07:56:21,0
AF884,BKK,CDG,Air France,F-CYY,2025-10-12 18:56:21,146,2025-10-12 07:56:21,1
TG947,DOH,UTH,Thai Airways,HS-VXQ,2025-09-12 22:03:37,206,2025-09-12 16:03:37,0
TG948,UTH,DOH,Thai Airways,HS-WRA,2025-09-17 23:03:37,101,2025-09-17 16:03:37,1
NH484,FRA,CEI,ANA,JAKYF,2025-09-25 16:30:17,110,2025-09-25 03:30:17,1
SQ902,HKG,UTH,Singapore Airlines,9V-GSN,2025-10-03 13:34:52,233,2025-10-03 11:34:52,0
SQ903,UTH,HKG,Singapore Airlines,9V-ZKM,2025-10-07 14:34:52,236,2025-10-07 11:34:52,0
UA622,LHR,CEI,United Airlines,NEOQ,2025-10-10 12:29:55,141,2025-10-10 01:29:55,1
SQ779,LHR,CEI,Singapore Airlines,9V-MSN,2025-10-11 09:42:24,161,2025-10-10 19:42:24,0
SQ780,CEI,LHR,Singapore Airlines,9V-QXX,2025-10-12 06:42:24,147,2025-10-11 19:42:24,0
NH412,LHR,BKK,ANA,JAPIP,2025-10-25 03:38:52,279,2025-10-24 14:38:52,0
QR392,SIN,BKK,Qatar Airways,A7-CRS,2025-10-06 08:16:54,182,2025-10-06 06:16:54,0
NH815,LHR,CEI,ANA,JAXVB,2025-09-12 12:13:52,280,2025-09-11 22:13:52,0
NH816,CEI,LHR,ANA,JAHJY,2025-09-15 10:13:52,89,2025-09-14 22:13:52,0
NH502,LHR,HKT,ANA,JAGLR,2025-09-14 06:12:39,102,2025-09-13 19:12:39,1
NH503,HKT,LHR,ANA,JAEIP,2025-09-19 07:12:39,102,2025-09-18 19:12:39,1
CX264,LHR,CEI,Cathay Pacific,B-ZEB,2025-09-21 06:14:49,152,2025-09-20 16:14:49,0
QR349,JFK,CNX,Qatar Airways,A7-STH,2025-10-06 15:09:52,138,2025-10-06 03:09:52,0
BA407,HND,BKK,British Airways,G-VYL,2025-10-22 14:17:49,161,2025-10-22 07:17:49,0
BA408,BKK,HND,British Airways,G-ZNX,2025-10-24 14:17:49,273,2025-10-24 07:17:49,1
UA747,JFK,UTH,United Airlines,NYLA,2025-10-21 11:18:00,202,2025-10-21 00:18:00,0
TG621,LHR,HKT,Thai Airways,HS-UBY,2025-10-03 01:33:09,174,2025-10-02 11:33:09,1
TG622,HKT,LHR,Thai Airways,HS-LOE,2025-10-04 02:33:09,256,2025-10-03 11:33:09,0
BA709,LHR,UTH,British Airways,G-EKB,2025-09-27 07:01:37,294,2025-09-26 21:01:37,0
CX639,HKG,CNX,Cathay Pacific,B-UFI,2025-11-03 22:59:12,233,2025-11-03 20:59:12,0
BA473,SIN,HKT,British Airways,G-YXB,2025-10-03 19:37:19,244,2025-10-03 16:37:19,1
CX668,HND,HKT,Cathay Pacific,B-OHZ,2025-09-21 03:08:20,218,2025-09-20 20:08:20,0
CX669,HKT,HND,Cathay Pacific,B-JYZ,2025-09-26 03:08:20,108,2025-09-25 20:08:20,0
BA394,FRA,UTH,British Airways,G-IBD,2025-09-09 04:41:34,245,2025-09-08 18:41:34,0
